GPStime,peakFreq,snr,Standard example?(y/n)
1241782042.766,32.268,9.666,y
1238458729.305,27.9,9.66,y
1238335644.273,31.386,9.65,y
1243615149.547,36.625,9.648,y
1239198768.484,37.495,9.596,y
1238271636.258,31.386,9.596,y
1243458882.133,27.308,9.564,y
1238355754.414,31.386,9.48,y
1239134640.977,31.386,9.462,y
1243627842.297,34.378,9.462,y
1238240191.883,31.386,9.452,y
1243434287.609,28.43,9.445,y
1243587826.273,34.59,9.427,y
1239131956.898,31.386,9.419,y
1239134661.992,31.386,9.403,y
1243264847.789,47.183,9.362,y
1238271959.977,35.306,9.349,y
1238294474.703,29.138,9.298,y
1249835275.297,32.268,9.287,y
1243604846.055,30.734,9.275,y
1243629537.547,36.625,9.275,y
1239638083.523,31.386,9.251,y
1243605221.727,30.734,9.199,y
1240770440.109,39.02,9.179,y
1243423563.539,27.308,9.171,y
1239640233.055,31.386,9.154,y
1253197432.195,34.59,9.132,y
1243267278.086,30.734,9.126,y
1243618647.734,28.43,9.123,y
1239630224.422,33.054,9.122,y
1253275976.672,28.43,9.044,y
1240586451.414,27.9,9.035,y
1243264380.383,30.734,8.996,y
1250439974.078,41.57,8.994,y
1243266372.977,27.308,8.947,y
1253032966.078,36.625,8.94,y
1243255735.578,30.288,8.935,y
1243259168.383,30.734,8.847,y
1243684913.266,36.625,8.824,y
1243627869.258,34.59,8.795,y
1240586539.297,25.687,8.795,y
1238352149.234,33.054,8.793,y
1239188951.797,29.138,8.776,y
1243587860.828,36.625,8.776,y
1238508971.953,24.117,8.763,y
1249948950.016,30.288,8.722,y
1243614454.633,30.734,8.678,y
1243633369.266,26.685,8.66,y
1240086350.055,31.386,8.642,y
1238358490.891,29.138,8.637,y
1243435107.984,34.378,8.602,y
1243660479.891,28.43,8.583,y
1243609906.820,34.59,8.573,y
1243433419.523,30.734,8.573,y
1243445932.977,30.734,8.572,y
1252946876.773,27.308,8.554,y
1243607360.578,36.625,8.551,y
1243689722.797,39.02,8.543,y
1238335147.891,35.205,8.505,y
1238175990.242,27.9,8.496,y
1243285086.102,34.59,8.459,y
1243263085.289,30.734,8.418,y
1243535408.641,39.02,8.403,n
1238328634.672,33.054,8.338,y
1250368995.172,26.685,8.338,y
1243261993.758,27.308,8.29,y
1240751401.305,24.264,8.276,y
1249735334.789,30.734,8.245,y
1243433259.273,30.734,8.224,y
1253625488.227,30.734,8.188,y
1243597912.602,38.93,8.183,y
1243598237.820,34.59,8.165,y
1243433261.234,28.43,8.145,y
1239131503.516,31.034,8.11,y
1243616170.328,32.268,8.091,y
1253047114.648,27.308,8.078,y
1243711911.211,34.59,8.07,n
1253021096.086,27.308,8.042,y
1243349179.047,32.268,8.025,y
1243251582.148,27.308,8.022,y
1243429943.477,34.59,8.003,y
1239211014.125,24.938,7.857,y
1238355859.734,33.054,7.827,y
1243408749.172,32.268,7.803,y
1243429248.203,34.378,7.803,y
1243255459.609,30.288,7.796,y
1243625150.195,30.734,7.771,y
1243602343.328,39.02,7.759,y
1238271453.008,27.9,7.709,y
1238267336.273,31.386,7.594,y
1243262355.602,30.734,7.537,y
1238762789.109,31.034,7.53,y
1239209813.602,31.386,7.51,y
1239392760.359,33.054,15.129,y
1243252050.234,36.625,15.081,y
1238345130.078,39.935,14.228,y
1243266105.672,39.02,14.048,y
1243257270.891,39.02,13.627,y
1243436667.539,30.734,13.495,y
1249770794.258,27.308,13.299,y
1243435357.836,47.183,13.024,y
1238167133.453,35.205,12.997,y
1238247792.242,45.301,12.655,y
1243263672.141,39.02,12.654,y
1243622131.820,34.59,12.542,y
1243252388.453,32.268,12.481,y
1238328594.766,39.935,12.45,y
1238168428.484,35.205,12.427,y
1243254228.328,41.57,12.347,y
1243252932.891,34.378,12.179,y
1243436538.953,28.43,12.152,y
1238244176.852,31.386,12.134,y
1238268109.547,42.534,12.117,y
1243267332.664,27.308,12.029,y
1243281488.984,32.268,11.959,y
1238176353.266,42.534,11.926,y
1242659114.164,30.734,11.916,y
1253039689.570,44.288,11.88,y
1243601711.758,30.734,11.795,y
1243259870.883,47.183,11.747,y
1251047038.797,30.288,11.736,y
1238333519.727,45.301,11.711,y
1239457484.672,42.534,11.682,y
1238326713.672,39.935,11.669,y
1243631420.523,34.59,11.519,y
1243609575.203,36.625,11.512,y
1238268618.109,37.495,11.461,y
1238273589.141,31.034,11.449,y
1243251419.383,27.308,11.373,y
1238329802.172,35.205,11.367,y
1239196547.852,31.386,11.239,y
1252935111.766,28.43,11.198,y
1243438916.805,34.59,11.192,y
1253024524.977,34.59,11.096,y
1240752315.359,41.57,11.086,y
1238269479.359,42.534,11.067,y
1245131573.766,39.02,11.057,y
1250414670.289,27.308,11.054,y
1240919929.398,38.93,11.001,y
1238294467.445,27.9,10.873,y
1240844095.680,30.734,10.838,y
1243254666.453,39.02,10.818,y
1243254619.766,30.288,10.8,y
1243611856.227,44.288,10.763,y
1243660310.984,30.288,10.738,y
1243432606.211,30.734,10.708,y
1243691431.203,39.02,10.707,y
1243684825.297,32.268,10.608,y
1243263669.477,34.59,10.597,y
1243624787.391,34.378,10.572,y
1243587839.828,36.625,10.568,y
1242316165.016,36.625,10.559,y
1247756909.078,34.378,10.545,y
1239198537.172,29.138,10.514,y
1243253694.516,41.57,10.494,y
1243435121.234,39.02,10.493,y
1243682002.555,34.59,10.405,y
1239825395.203,29.138,10.397,y
1243690303.742,44.288,10.397,y
1251137523.242,27.308,10.381,y
1243252046.109,34.378,10.373,y
1243265585.461,27.308,10.319,y
1243428554.836,24.264,10.311,y
1243434419.211,34.59,10.309,y
1253392516.453,26.685,10.233,y
1238355119.922,42.534,10.233,y
1239636511.414,27.9,10.231,y
1238355323.867,27.9,10.2,y
1238932736.961,31.386,10.182,y
1239207498.953,37.495,10.178,y
1243287775.922,36.625,10.151,y
1243436738.430,30.734,10.144,y
1238338201.953,35.205,10.124,y
1238378386.797,29.138,10.121,y
1243257446.164,30.734,10.113,y
1242917090.578,41.57,10.033,y
1243252919.391,32.268,10.03,y
1245533645.617,30.734,10.026,y
1243264702.266,32.268,10.009,y
1242662126.305,30.734,9.998,y
1238346007.203,37.495,9.997,y
1244551480.391,34.378,9.989,y
1240723444.828,34.378,9.988,y
1238329153.078,29.138,9.965,y
1240752192.336,27.308,9.952,y
1243631660.828,34.378,9.942,y
1238352599.109,39.935,9.93,y
1243609421.359,32.268,9.928,y
1253363216.797,28.43,9.903,y
1252935109.117,30.734,9.894,y
1238349912.359,37.495,9.855,y
1243283141.867,30.734,9.851,y
1238340264.984,37.495,9.82,y
1243623512.828,39.02,9.756,y
1243605286.789,30.734,9.699,y
1238183214.883,27.9,9.675,y
1250540225.680,27.308,9.66,y
1250540050.945,30.734,9.648,y
1240751151.680,24.264,9.64,y
1243266112.391,36.625,9.624,y
1243597471.492,34.59,9.61,y
1238267826.703,31.034,9.604,y
1239196983.141,37.495,9.601,y
1253281036.547,32.268,9.582,y
1238239905.383,35.306,9.579,y
1239440549.320,35.306,9.541,y
1240751436.641,30.288,9.535,y
1243356848.289,34.59,9.525,y
1238355328.484,33.054,9.498,y
1239620342.516,33.054,9.49,y
1243625468.102,30.734,9.443,y
1243612649.547,34.378,9.429,y
1238168423.641,31.034,9.37,y
1250258554.672,30.288,9.366,y
1238339987.164,35.306,9.346,y
1243260526.484,30.288,9.321,y
1243610602.211,24.264,9.312,y
1245534750.141,34.378,9.308,y
1243602278.172,39.02,9.304,y
1243615626.547,30.288,9.288,y
1253364533.047,36.625,9.247,y
1243615387.758,38.93,9.185,y
1243618771.922,34.378,9.173,y
1238271594.727,27.9,9.109,y
1243607291.516,34.378,9.102,y
1238267739.211,39.717,9.096,y
1243345465.977,30.734,9.095,y
1253040119.273,30.734,9.094,y
1243335487.328,34.378,9.077,y
1243177372.922,32.268,9.039,y
1249828656.836,34.59,9.026,y
1251241230.672,36.625,9,y
1243254055.414,34.59,8.988,y
1250541402.180,27.308,8.968,y
1252955208.695,30.734,8.93,y
1249389611.828,28.43,8.901,y
1243688464.375,24.416,8.893,y
1238349926.016,35.205,8.873,y
1243449292.766,30.288,8.871,y
1252783135.047,32.268,8.868,y
1238274350.734,31.034,8.846,y
1243617716.961,44.288,8.833,y
1243598910.648,34.59,8.813,y
1238274181.477,27.9,8.811,y
1243631306.398,30.734,8.808,y
1253626495.586,38.93,8.78,y
1240751167.898,27.308,8.776,y
1243347091.922,39.02,8.761,y
1243689674.078,34.378,8.752,y
1243388940.539,24.264,8.737,y
1240945128.602,27.308,8.721,y
1243437001.211,30.734,8.721,y
1238346004.797,31.034,8.699,y
1253018889.211,30.734,8.689,y
1243685374.078,28.43,8.671,y
1243253891.953,26.685,8.664,y
1239210112.422,29.138,8.622,y
1239542051.398,31.386,8.601,y
1238244564.367,35.306,8.59,y
1240159882.008,24.802,8.569,y
1243603095.664,27.308,8.565,y
1238266308.789,35.306,8.525,y
1240852237.172,32.268,8.522,y
1238183917.141,29.138,8.499,y
1253302134.703,26.685,8.486,n
1243266566.172,32.268,8.478,y
1243439222.508,34.59,8.43,y
1239207503.789,31.386,8.405,y
1251056999.984,32.268,8.372,y
1238335697.641,33.054,8.355,y
1241817119.555,27.308,8.324,y
1243599538.641,34.378,8.318,y
1240751459.602,34.59,8.313,y
1239137730.617,31.386,8.301,y
1243351912.086,38.93,8.296,y
1243443753.578,26.685,8.288,y
1246660309.984,39.02,8.207,y
1238276392.141,35.205,8.201,y
1240060251.109,35.205,8.194,y
1244656210.523,30.734,8.17,y
1243259213.609,32.268,8.159,y
1240089632.828,27.358,8.152,y
1243686011.734,41.57,8.15,y
1253092793.883,30.734,8.141,y
1253026042.633,27.308,8.133,y
1250019364.039,30.734,8.101,y
1239215132.258,31.386,8.101,y
1243615672.047,34.378,8.008,y
1243264078.539,30.734,8.002,y
1243255876.820,27.308,7.993,y
1239188496.508,27.9,7.984,y
1238327159.211,35.306,7.979,y
1243609655.203,36.625,7.942,y
1238352576.328,37.495,7.941,y
1239984233.070,35.306,7.916,y
1243261055.695,34.59,7.904,y
1239640323.508,27.9,7.895,y
1239211988.078,27.358,7.886,y
1240748034.086,30.734,7.811,y
1243256358.602,30.734,7.777,y
1243624343.172,36.625,7.745,y
1243688673.953,34.378,7.686,y
1243631301.570,30.734,7.673,y
1243624789.297,30.288,7.651,y
1240751154.336,27.308,7.632,y
1250344514.203,32.268,7.559,y
1242738529.422,26.685,7.551,y
1240750936.734,34.378,15.556,y
1238176346.695,48.249,15.556,y
1243603545.422,41.57,14.93,y
1243260886.547,32.268,14.301,y
1243687586.445,44.288,13.977,y
1245144368.891,30.288,13.461,y
1243624006.578,36.625,12.849,y
1243353901.461,38.93,12.815,y
1243266149.891,39.02,12.691,y
1238341073.141,39.935,12.58,y
1243690624.383,44.288,12.574,y
1243624341.211,44.288,12.382,y
1243355219.578,36.625,12.336,y
1243251322.727,38.93,12.257,y
1238329539.086,45.301,12.248,y
1243450429.336,30.734,12.234,y
1243251586.734,32.268,12.176,y
1239211464.180,35.306,12.145,y
1243346796.172,36.625,12.025,y
1243422896.180,30.734,11.953,y
1240757892.727,34.59,11.904,y
1243626112.016,34.378,11.884,y
1243265960.523,44.288,11.833,y
1240920567.609,34.378,11.74,y
1243436924.297,36.625,11.627,y
1243691488.516,36.625,11.553,y
1250439971.914,44.288,11.368,y
1238177654.484,27.358,11.351,y
1239455604.891,35.205,11.341,y
1238344510.047,35.205,11.332,y
1253210937.672,32.268,11.289,y
1243435112.547,36.625,11.255,y
1253363069.266,41.57,11.243,y
1243607589.633,44.288,11.24,y
1238276350.453,39.935,11.217,y
1243610333.188,29.418,11.213,y
1243255888.391,30.288,11.171,y
1253392047.508,34.59,11.168,y
1243260530.602,27.308,11.126,y
1238328716.734,39.935,11.123,y
1240087723.648,31.386,11.094,y
1243691549.766,39.02,10.794,y
1243604149.953,34.378,10.789,y
1243609495.234,30.288,10.712,y
1250193904.484,41.57,10.686,y
1243436921.633,34.59,10.603,y
1243422884.836,30.734,10.479,y
1240756800.586,27.308,10.471,y
1243252186.234,26.685,10.438,y
1238335275.141,37.495,10.422,y
1243623123.227,34.59,10.384,y
1239635229.141,33.054,10.283,y
1250364701.695,30.734,10.253,y
1243599432.273,38.93,10.249,y
1243349639.602,27.308,10.225,y
1243619405.578,41.57,10.2,y
1239632301.898,31.386,10.18,y
1243351390.570,30.734,10.141,y
1243623339.453,36.625,10.13,y
1243266937.859,30.288,10.096,y
1243262150.172,32.268,10.057,y
1243689669.234,36.625,10.047,y
1253201240.180,34.59,10.037,y
1240770446.641,36.625,9.968,y
1243257273.547,32.268,9.947,y
1239619356.164,31.386,9.918,y
1243433257.086,30.734,9.895,y
1240933448.547,30.288,9.86,y
1238166436.008,27.9,9.842,y
1240748574.297,34.378,9.834,y
1243625475.609,34.378,9.821,y
1238329780.664,35.306,9.814,y
1238186596.109,35.205,9.763,y
1245090846.633,30.734,9.755,y
1246456587.859,36.625,9.718,y
1239207331.891,29.138,9.702,y
1243623505.367,47.183,9.696,y
1252941421.328,34.378,9.693,y
1243444375.773,30.734,9.673,y
1243625656.141,34.378,9.624,y
1243587838.547,39.02,9.586,y
1244469972.359,39.02,9.561,y
1243611772.680,38.93,9.534,y
1238268620.016,37.495,9.469,y
1243621624.453,39.02,9.455,y
1238548143.289,31.386,9.437,y
1243345575.414,38.93,9.42,y
1243263658.586,34.59,9.394,y
1251828921.203,36.625,9.386,y
1238336565.617,35.306,9.353,y
1244596814.359,39.02,9.352,y
1243266789.141,32.268,9.329,y
1249837351.836,24.264,9.312,y
1253625300.773,44.288,9.308,y
1239130958.953,33.054,9.288,y
1240750943.516,30.288,9.238,y
1243614440.398,30.734,9.232,y
1243262958.039,38.93,9.118,y
1249838107.547,34.378,9.084,y
1253625658.672,34.378,9.068,y
1241351203.102,27.308,9.051,y
1243345543.539,27.308,9.044,y
1243266374.922,34.378,9.034,y
1243623792.141,36.625,9.006,y
1238168418.805,31.386,8.968,y
1238269067.422,35.205,8.953,y
1253024310.523,27.308,8.945,y
1243265322.992,27.308,8.933,y
1248965220.547,36.625,8.92,y
1240089899.820,24.802,8.916,y
1240770506.141,39.02,8.909,y
1243682843.109,32.268,8.896,y
1243252967.367,30.734,8.885,y
1240752118.297,36.625,8.877,y
1243262462.766,36.625,8.849,y
1240919714.172,34.378,8.795,y
1253017552.805,30.734,8.776,y
1240774434.273,27.308,8.765,y
1238247695.734,35.205,8.748,y
1243609674.016,36.625,8.73,y
1243435130.891,34.378,8.711,y
1238242121.797,29.138,8.691,y
1239210766.539,39.717,8.577,y
1243442935.773,27.308,8.543,y
1250276912.047,34.378,8.517,y
1240586444.633,27.9,8.499,y
1253361790.289,27.308,8.474,y
1243611888.109,36.625,8.433,y
1239627099.508,31.386,8.406,y
1243631120.695,34.59,8.366,y
1238353091.672,31.034,8.358,y
1243688766.133,30.734,8.353,y
1240919050.992,30.734,8.343,y
1243629345.164,30.734,8.338,y
1243434210.367,30.734,8.304,y
1243587810.109,34.378,8.284,y
1253040235.289,34.59,8.28,y
1238548129.039,27.9,8.239,y
1253017808.797,32.268,8.237,y
1243454306.148,27.308,8.234,y
1252943301.430,34.59,8.226,y
1243625244.984,32.268,8.208,y
1243286907.977,34.59,8.17,y
1242744365.891,30.288,8.162,y
1243618218.461,27.308,8.117,y
1239787696.734,31.034,8.082,y
1238378384.148,24.802,8.067,y
1238352543.398,31.386,8.045,y
1243261819.789,24.264,7.979,y
1241205157.914,30.734,7.93,y
1245919822.758,27.308,7.867,y
1238247759.828,37.495,7.712,y
1253622769.422,34.378,7.688,y
1243436473.070,30.734,7.685,y
1238355813.266,25.687,7.678,y
1248211079.859,34.378,7.625,y
1239993466.016,37.495,15.549,y
1238166255.086,48.249,14.87,y
1243681988.578,39.02,13.579,y
1243265503.484,34.378,13.489,y
1243260751.305,38.93,13.398,y
1238248609.789,35.306,13.237,y
1240772398.234,36.625,13.067,y
1243264074.422,39.02,12.936,y
1252936797.227,34.59,12.658,y
1243444021.523,30.734,12.452,y
1243614661.422,39.02,12.417,y
1243267330.266,30.288,12.318,y
1243601151.734,39.02,12.311,y
1243633541.047,34.378,12.31,y
1240917556.945,47.183,12.287,y
1243436186.773,24.264,12.204,y
1243608569.266,39.02,12.179,y
1243598475.797,41.57,12.171,y
1253363071.891,39.02,12.132,y
1243252930.703,36.625,11.982,y
1239176561.445,31.386,11.869,y
1243687073.047,41.57,11.851,y
1238169066.234,33.054,11.679,y
1253298737.641,28.43,11.494,y
1249915885.547,36.625,11.476,y
1243620525.766,39.02,11.445,y
1243266166.047,41.57,11.34,y
1238269728.953,33.054,11.314,y
1243628518.641,34.378,11.287,y
1249834535.922,36.625,11.153,y
1243631676.953,32.268,11.146,y
1239215143.859,37.495,11.108,y
1238331596.695,45.301,11.097,y
1238266678.766,39.935,10.715,y
1243601563.891,36.625,10.637,y
1251788259.484,32.268,10.589,y
1243255402.109,32.268,10.464,y
1243691936.422,34.378,10.434,y
1240766038.266,34.378,10.387,y
1238166250.234,39.935,10.382,y
1243618504.539,38.93,10.347,y
1243434079.516,34.378,10.24,y
1243684999.391,39.02,10.229,y
1238182325.359,37.495,10.224,y
1249843448.453,39.02,10.202,y
1243607667.234,39.02,10.191,y
1240059965.414,35.306,10.148,y
1250430982.273,30.734,10.057,y
1243264772.484,36.625,9.984,y
1243616174.891,39.02,9.92,y
1253016647.922,30.288,9.888,y
1243428831.859,36.625,9.885,y
1243264960.672,41.57,9.861,y
1239028472.836,27.9,9.825,y
1238340272.484,33.054,9.8,y
1243689787.703,34.378,9.79,y
1251137160.867,24.264,9.784,y
1253364362.227,27.308,9.766,y
1239396465.008,31.386,9.76,y
1238548200.789,27.9,9.741,n
1251839273.641,32.268,9.734,n
1243428990.242,34.59,9.625,y
1243616945.016,30.288,9.548,y
1244470064.828,32.268,9.521,y
1239132375.586,35.306,9.517,y
1243617573.945,34.59,9.461,y
1239994668.180,31.386,9.388,y
1238414406.797,33.054,9.386,y
1243631653.383,34.59,9.381,y
1243631653.383,34.59,9.381,y
1243079029.664,34.59,9.378,y
